"Statistic Label","Quarter","State","UNIT","VALUE"
"GVA at Constant Basic Prices","1995Q1","State","Euro Million","21283"
"GVA at Constant Basic Prices","1995Q2","State","Euro Million","22083"
"GVA at Constant Basic Prices","1995Q3","State","Euro Million","22529"
"GVA at Constant Basic Prices","1995Q4","State","Euro Million","22342"
"GVA at Constant Basic Prices","1996Q1","State","Euro Million","22989"
"GVA at Constant Basic Prices","1996Q2","State","Euro Million","24022"
"GVA at Constant Basic Prices","1996Q3","State","Euro Million","23775"
"GVA at Constant Basic Prices","1996Q4","State","Euro Million","23722"
"GVA at Constant Basic Prices","1997Q1","State","Euro Million","24656"
"GVA at Constant Basic Prices","1997Q2","State","Euro Million","26327"
"GVA at Constant Basic Prices","1997Q3","State","Euro Million","26393"
"GVA at Constant Basic Prices","1997Q4","State","Euro Million","26941"
"GVA at Constant Basic Prices","1998Q1","State","Euro Million","27120"
"GVA at Constant Basic Prices","1998Q2","State","Euro Million","28211"
"GVA at Constant Basic Prices","1998Q3","State","Euro Million","29099"
"GVA at Constant Basic Prices","1998Q4","State","Euro Million","28387"
"GVA at Constant Basic Prices","1999Q1","State","Euro Million","29589"
"GVA at Constant Basic Prices","1999Q2","State","Euro Million","30060"
"GVA at Constant Basic Prices","1999Q3","State","Euro Million","31697"
"GVA at Constant Basic Prices","1999Q4","State","Euro Million","32547"
"GVA at Constant Basic Prices","2000Q1","State","Euro Million","31694"
"GVA at Constant Basic Prices","2000Q2","State","Euro Million","33709"
"GVA at Constant Basic Prices","2000Q3","State","Euro Million","33964"
"GVA at Constant Basic Prices","2000Q4","State","Euro Million","35794"
"GVA at Constant Basic Prices","2001Q1","State","Euro Million","34388"
"GVA at Constant Basic Prices","2001Q2","State","Euro Million","36216"
"GVA at Constant Basic Prices","2001Q3","State","Euro Million","35403"
"GVA at Constant Basic Prices","2001Q4","State","Euro Million","37306"
"GVA at Constant Basic Prices","2002Q1","State","Euro Million","36458"
"GVA at Constant Basic Prices","2002Q2","State","Euro Million","38304"
"GVA at Constant Basic Prices","2002Q3","State","Euro Million","37588"
"GVA at Constant Basic Prices","2002Q4","State","Euro Million","39908"
"GVA at Constant Basic Prices","2003Q1","State","Euro Million","37115"
"GVA at Constant Basic Prices","2003Q2","State","Euro Million","39370"
"GVA at Constant Basic Prices","2003Q3","State","Euro Million","37639"
"GVA at Constant Basic Prices","2003Q4","State","Euro Million","42136"
"GVA at Constant Basic Prices","2004Q1","State","Euro Million","39864"
"GVA at Constant Basic Prices","2004Q2","State","Euro Million","42577"
"GVA at Constant Basic Prices","2004Q3","State","Euro Million","40120"
"GVA at Constant Basic Prices","2004Q4","State","Euro Million","43594"
"GVA at Constant Basic Prices","2005Q1","State","Euro Million","41747"
"GVA at Constant Basic Prices","2005Q2","State","Euro Million","44650"
"GVA at Constant Basic Prices","2005Q3","State","Euro Million","41712"
"GVA at Constant Basic Prices","2005Q4","State","Euro Million","45897"
"GVA at Constant Basic Prices","2006Q1","State","Euro Million","43946"
"GVA at Constant Basic Prices","2006Q2","State","Euro Million","46021"
"GVA at Constant Basic Prices","2006Q3","State","Euro Million","44573"
"GVA at Constant Basic Prices","2006Q4","State","Euro Million","46672"
"GVA at Constant Basic Prices","2007Q1","State","Euro Million","47725"
"GVA at Constant Basic Prices","2007Q2","State","Euro Million","48910"
"GVA at Constant Basic Prices","2007Q3","State","Euro Million","46340"
"GVA at Constant Basic Prices","2007Q4","State","Euro Million","49788"
"GVA at Constant Basic Prices","2008Q1","State","Euro Million","47353"
"GVA at Constant Basic Prices","2008Q2","State","Euro Million","48154"
"GVA at Constant Basic Prices","2008Q3","State","Euro Million","46684"
"GVA at Constant Basic Prices","2008Q4","State","Euro Million","45521"
"GVA at Constant Basic Prices","2009Q1","State","Euro Million","45290"
"GVA at Constant Basic Prices","2009Q2","State","Euro Million","46517"
"GVA at Constant Basic Prices","2009Q3","State","Euro Million","44574"
"GVA at Constant Basic Prices","2009Q4","State","Euro Million","44430"
"GVA at Constant Basic Prices","2010Q1","State","Euro Million","45124"
"GVA at Constant Basic Prices","2010Q2","State","Euro Million","46960"
"GVA at Constant Basic Prices","2010Q3","State","Euro Million","45745"
"GVA at Constant Basic Prices","2010Q4","State","Euro Million","46219"
"GVA at Constant Basic Prices","2011Q1","State","Euro Million","45994"
"GVA at Constant Basic Prices","2011Q2","State","Euro Million","48439"
"GVA at Constant Basic Prices","2011Q3","State","Euro Million","46512"
"GVA at Constant Basic Prices","2011Q4","State","Euro Million","46550"
"GVA at Constant Basic Prices","2012Q1","State","Euro Million","45177"
"GVA at Constant Basic Prices","2012Q2","State","Euro Million","48722"
"GVA at Constant Basic Prices","2012Q3","State","Euro Million","46059"
"GVA at Constant Basic Prices","2012Q4","State","Euro Million","47144"
"GVA at Constant Basic Prices","2013Q1","State","Euro Million","44282"
"GVA at Constant Basic Prices","2013Q2","State","Euro Million","47687"
"GVA at Constant Basic Prices","2013Q3","State","Euro Million","48370"
"GVA at Constant Basic Prices","2013Q4","State","Euro Million","48441"
"GVA at Constant Basic Prices","2014Q1","State","Euro Million","48723"
"GVA at Constant Basic Prices","2014Q2","State","Euro Million","51347"
"GVA at Constant Basic Prices","2014Q3","State","Euro Million","52296"
"GVA at Constant Basic Prices","2014Q4","State","Euro Million","52858"
"GVA at Constant Basic Prices","2015Q1","State","Euro Million","63714"
"GVA at Constant Basic Prices","2015Q2","State","Euro Million","62491"
"GVA at Constant Basic Prices","2015Q3","State","Euro Million","65694"
"GVA at Constant Basic Prices","2015Q4","State","Euro Million","67045"
"GVA at Constant Basic Prices","2016Q1","State","Euro Million","61875"
"GVA at Constant Basic Prices","2016Q2","State","Euro Million","62874"
"GVA at Constant Basic Prices","2016Q3","State","Euro Million","64387"
"GVA at Constant Basic Prices","2016Q4","State","Euro Million","73471"
"GVA at Constant Basic Prices","2017Q1","State","Euro Million","66463"
"GVA at Constant Basic Prices","2017Q2","State","Euro Million","68667"
"GVA at Constant Basic Prices","2017Q3","State","Euro Million","74257"
"GVA at Constant Basic Prices","2017Q4","State","Euro Million","78835"
"GVA at Constant Basic Prices","2018Q1","State","Euro Million","74824"
"GVA at Constant Basic Prices","2018Q2","State","Euro Million","77612"
"GVA at Constant Basic Prices","2018Q3","State","Euro Million","79645"
"GVA at Constant Basic Prices","2018Q4","State","Euro Million","81807"
"GVA at Constant Basic Prices","2019Q1","State","Euro Million","77801"
"GVA at Constant Basic Prices","2019Q2","State","Euro Million","80730"
"GVA at Constant Basic Prices","2019Q3","State","Euro Million","84798"
"GVA at Constant Basic Prices","2019Q4","State","Euro Million","86755"
"GVA at Constant Basic Prices","2020Q1","State","Euro Million","86498"
"GVA at Constant Basic Prices","2020Q2","State","Euro Million","83341"
"GVA at Constant Basic Prices","2020Q3","State","Euro Million","95586"
"GVA at Constant Basic Prices","2020Q4","State","Euro Million","91344"
"GVA at Constant Basic Prices","2021Q1","State","Euro Million","96746"
"GVA at Constant Basic Prices","2021Q2","State","Euro Million","101138"
"GVA at Constant Basic Prices","2021Q3","State","Euro Million","107247"
"GVA at Constant Basic Prices","2021Q4","State","Euro Million","104256"
"GVA at Constant Basic Prices","2022Q1","State","Euro Million","104768"
"GVA at Constant Basic Prices","2022Q2","State","Euro Million","111260"
"GVA at Constant Basic Prices","2022Q3","State","Euro Million","117834"
"GVA at Constant Basic Prices","2022Q4","State","Euro Million","116354"
"GVA at Constant Basic Prices","2023Q1","State","Euro Million","106301"
"GVA at Constant Basic Prices","2023Q2","State","Euro Million","110557"
"Taxes on Products","1995Q1","State","Euro Million","2470"
"Taxes on Products","1995Q2","State","Euro Million","2646"
"Taxes on Products","1995Q3","State","Euro Million","2731"
"Taxes on Products","1995Q4","State","Euro Million","2840"
"Taxes on Products","1996Q1","State","Euro Million","2747"
"Taxes on Products","1996Q2","State","Euro Million","2925"
"Taxes on Products","1996Q3","State","Euro Million","3015"
"Taxes on Products","1996Q4","State","Euro Million","3141"
"Taxes on Products","1997Q1","State","Euro Million","3129"
"Taxes on Products","1997Q2","State","Euro Million","3332"
"Taxes on Products","1997Q3","State","Euro Million","3433"
"Taxes on Products","1997Q4","State","Euro Million","3540"
"Taxes on Products","1998Q1","State","Euro Million","3501"
"Taxes on Products","1998Q2","State","Euro Million","3700"
"Taxes on Products","1998Q3","State","Euro Million","3801"
"Taxes on Products","1998Q4","State","Euro Million","3949"
"Taxes on Products","1999Q1","State","Euro Million","3949"
"Taxes on Products","1999Q2","State","Euro Million","4178"
"Taxes on Products","1999Q3","State","Euro Million","4289"
"Taxes on Products","1999Q4","State","Euro Million","4417"
"Taxes on Products","2000Q1","State","Euro Million","4996"
"Taxes on Products","2000Q2","State","Euro Million","4197"
"Taxes on Products","2000Q3","State","Euro Million","5080"
"Taxes on Products","2000Q4","State","Euro Million","4282"
"Taxes on Products","2001Q1","State","Euro Million","4882"
"Taxes on Products","2001Q2","State","Euro Million","3874"
"Taxes on Products","2001Q3","State","Euro Million","4857"
"Taxes on Products","2001Q4","State","Euro Million","4439"
"Taxes on Products","2002Q1","State","Euro Million","4970"
"Taxes on Products","2002Q2","State","Euro Million","4026"
"Taxes on Products","2002Q3","State","Euro Million","5251"
"Taxes on Products","2002Q4","State","Euro Million","4756"
"Taxes on Products","2003Q1","State","Euro Million","5210"
"Taxes on Products","2003Q2","State","Euro Million","4088"
"Taxes on Products","2003Q3","State","Euro Million","5618"
"Taxes on Products","2003Q4","State","Euro Million","5101"
"Taxes on Products","2004Q1","State","Euro Million","5784"
"Taxes on Products","2004Q2","State","Euro Million","4643"
"Taxes on Products","2004Q3","State","Euro Million","6079"
"Taxes on Products","2004Q4","State","Euro Million","5410"
"Taxes on Products","2005Q1","State","Euro Million","6328"
"Taxes on Products","2005Q2","State","Euro Million","5101"
"Taxes on Products","2005Q3","State","Euro Million","6931"
"Taxes on Products","2005Q4","State","Euro Million","5685"
"Taxes on Products","2006Q1","State","Euro Million","7152"
"Taxes on Products","2006Q2","State","Euro Million","5447"
"Taxes on Products","2006Q3","State","Euro Million","7482"
"Taxes on Products","2006Q4","State","Euro Million","6176"
"Taxes on Products","2007Q1","State","Euro Million","7485"
"Taxes on Products","2007Q2","State","Euro Million","5632"
"Taxes on Products","2007Q3","State","Euro Million","6949"
"Taxes on Products","2007Q4","State","Euro Million","5658"
"Taxes on Products","2008Q1","State","Euro Million","6402"
"Taxes on Products","2008Q2","State","Euro Million","4518"
"Taxes on Products","2008Q3","State","Euro Million","5967"
"Taxes on Products","2008Q4","State","Euro Million","4309"
"Taxes on Products","2009Q1","State","Euro Million","4660"
"Taxes on Products","2009Q2","State","Euro Million","3704"
"Taxes on Products","2009Q3","State","Euro Million","5268"
"Taxes on Products","2009Q4","State","Euro Million","4133"
"Taxes on Products","2010Q1","State","Euro Million","4685"
"Taxes on Products","2010Q2","State","Euro Million","3621"
"Taxes on Products","2010Q3","State","Euro Million","5330"
"Taxes on Products","2010Q4","State","Euro Million","4088"
"Taxes on Products","2011Q1","State","Euro Million","4671"
"Taxes on Products","2011Q2","State","Euro Million","3373"
"Taxes on Products","2011Q3","State","Euro Million","4864"
"Taxes on Products","2011Q4","State","Euro Million","3994"
"Taxes on Products","2012Q1","State","Euro Million","4601"
"Taxes on Products","2012Q2","State","Euro Million","3409"
"Taxes on Products","2012Q3","State","Euro Million","5129"
"Taxes on Products","2012Q4","State","Euro Million","3896"
"Taxes on Products","2013Q1","State","Euro Million","4782"
"Taxes on Products","2013Q2","State","Euro Million","3511"
"Taxes on Products","2013Q3","State","Euro Million","5256"
"Taxes on Products","2013Q4","State","Euro Million","4081"
"Taxes on Products","2014Q1","State","Euro Million","4942"
"Taxes on Products","2014Q2","State","Euro Million","4070"
"Taxes on Products","2014Q3","State","Euro Million","5325"
"Taxes on Products","2014Q4","State","Euro Million","4847"
"Taxes on Products","2015Q1","State","Euro Million","5325"
"Taxes on Products","2015Q2","State","Euro Million","4365"
"Taxes on Products","2015Q3","State","Euro Million","5862"
"Taxes on Products","2015Q4","State","Euro Million","4856"
"Taxes on Products","2016Q1","State","Euro Million","5901"
"Taxes on Products","2016Q2","State","Euro Million","4699"
"Taxes on Products","2016Q3","State","Euro Million","6008"
"Taxes on Products","2016Q4","State","Euro Million","5082"
"Taxes on Products","2017Q1","State","Euro Million","6156"
"Taxes on Products","2017Q2","State","Euro Million","4413"
"Taxes on Products","2017Q3","State","Euro Million","6394"
"Taxes on Products","2017Q4","State","Euro Million","5525"
"Taxes on Products","2018Q1","State","Euro Million","6128"
"Taxes on Products","2018Q2","State","Euro Million","4632"
"Taxes on Products","2018Q3","State","Euro Million","6834"
"Taxes on Products","2018Q4","State","Euro Million","5526"
"Taxes on Products","2019Q1","State","Euro Million","6616"
"Taxes on Products","2019Q2","State","Euro Million","5065"
"Taxes on Products","2019Q3","State","Euro Million","7126"
"Taxes on Products","2019Q4","State","Euro Million","5935"
"Taxes on Products","2020Q1","State","Euro Million","4990"
"Taxes on Products","2020Q2","State","Euro Million","4197"
"Taxes on Products","2020Q3","State","Euro Million","6797"
"Taxes on Products","2020Q4","State","Euro Million","5660"
"Taxes on Products","2021Q1","State","Euro Million","6450"
"Taxes on Products","2021Q2","State","Euro Million","5393"
"Taxes on Products","2021Q3","State","Euro Million","7841"
"Taxes on Products","2021Q4","State","Euro Million","6661"
"Taxes on Products","2022Q1","State","Euro Million","7467"
"Taxes on Products","2022Q2","State","Euro Million","5162"
"Taxes on Products","2022Q3","State","Euro Million","7973"
"Taxes on Products","2022Q4","State","Euro Million","5857"
"Taxes on Products","2023Q1","State","Euro Million","7137"
"Taxes on Products","2023Q2","State","Euro Million","5086"
"Subsidies on Products","1995Q1","State","Euro Million","-383"
"Subsidies on Products","1995Q2","State","Euro Million","-424"
"Subsidies on Products","1995Q3","State","Euro Million","-658"
"Subsidies on Products","1995Q4","State","Euro Million","-705"
"Subsidies on Products","1996Q1","State","Euro Million","-442"
"Subsidies on Products","1996Q2","State","Euro Million","-483"
"Subsidies on Products","1996Q3","State","Euro Million","-754"
"Subsidies on Products","1996Q4","State","Euro Million","-800"
"Subsidies on Products","1997Q1","State","Euro Million","-501"
"Subsidies on Products","1997Q2","State","Euro Million","-627"
"Subsidies on Products","1997Q3","State","Euro Million","-555"
"Subsidies on Products","1997Q4","State","Euro Million","-844"
"Subsidies on Products","1998Q1","State","Euro Million","-472"
"Subsidies on Products","1998Q2","State","Euro Million","-640"
"Subsidies on Products","1998Q3","State","Euro Million","-477"
"Subsidies on Products","1998Q4","State","Euro Million","-916"
"Subsidies on Products","1999Q1","State","Euro Million","-447"
"Subsidies on Products","1999Q2","State","Euro Million","-558"
"Subsidies on Products","1999Q3","State","Euro Million","-510"
"Subsidies on Products","1999Q4","State","Euro Million","-802"
"Subsidies on Products","2000Q1","State","Euro Million","-561"
"Subsidies on Products","2000Q2","State","Euro Million","-543"
"Subsidies on Products","2000Q3","State","Euro Million","-382"
"Subsidies on Products","2000Q4","State","Euro Million","-817"
"Subsidies on Products","2001Q1","State","Euro Million","-369"
"Subsidies on Products","2001Q2","State","Euro Million","-346"
"Subsidies on Products","2001Q3","State","Euro Million","-462"
"Subsidies on Products","2001Q4","State","Euro Million","-728"
"Subsidies on Products","2002Q1","State","Euro Million","-419"
"Subsidies on Products","2002Q2","State","Euro Million","-548"
"Subsidies on Products","2002Q3","State","Euro Million","-518"
"Subsidies on Products","2002Q4","State","Euro Million","-915"
"Subsidies on Products","2003Q1","State","Euro Million","-430"
"Subsidies on Products","2003Q2","State","Euro Million","-526"
"Subsidies on Products","2003Q3","State","Euro Million","-536"
"Subsidies on Products","2003Q4","State","Euro Million","-824"
"Subsidies on Products","2004Q1","State","Euro Million","-528"
"Subsidies on Products","2004Q2","State","Euro Million","-561"
"Subsidies on Products","2004Q3","State","Euro Million","-464"
"Subsidies on Products","2004Q4","State","Euro Million","-732"
"Subsidies on Products","2005Q1","State","Euro Million","-302"
"Subsidies on Products","2005Q2","State","Euro Million","-354"
"Subsidies on Products","2005Q3","State","Euro Million","-330"
"Subsidies on Products","2005Q4","State","Euro Million","-611"
"Subsidies on Products","2006Q1","State","Euro Million","-256"
"Subsidies on Products","2006Q2","State","Euro Million","-283"
"Subsidies on Products","2006Q3","State","Euro Million","-365"
"Subsidies on Products","2006Q4","State","Euro Million","-299"
"Subsidies on Products","2007Q1","State","Euro Million","-295"
"Subsidies on Products","2007Q2","State","Euro Million","-322"
"Subsidies on Products","2007Q3","State","Euro Million","-406"
"Subsidies on Products","2007Q4","State","Euro Million","-253"
"Subsidies on Products","2008Q1","State","Euro Million","-353"
"Subsidies on Products","2008Q2","State","Euro Million","-325"
"Subsidies on Products","2008Q3","State","Euro Million","-379"
"Subsidies on Products","2008Q4","State","Euro Million","-259"
"Subsidies on Products","2009Q1","State","Euro Million","-295"
"Subsidies on Products","2009Q2","State","Euro Million","-323"
"Subsidies on Products","2009Q3","State","Euro Million","-357"
"Subsidies on Products","2009Q4","State","Euro Million","-374"
"Subsidies on Products","2010Q1","State","Euro Million","-299"
"Subsidies on Products","2010Q2","State","Euro Million","-241"
"Subsidies on Products","2010Q3","State","Euro Million","-312"
"Subsidies on Products","2010Q4","State","Euro Million","-359"
"Subsidies on Products","2011Q1","State","Euro Million","-260"
"Subsidies on Products","2011Q2","State","Euro Million","-261"
"Subsidies on Products","2011Q3","State","Euro Million","-293"
"Subsidies on Products","2011Q4","State","Euro Million","-341"
"Subsidies on Products","2012Q1","State","Euro Million","-247"
"Subsidies on Products","2012Q2","State","Euro Million","-266"
"Subsidies on Products","2012Q3","State","Euro Million","-291"
"Subsidies on Products","2012Q4","State","Euro Million","-372"
"Subsidies on Products","2013Q1","State","Euro Million","-254"
"Subsidies on Products","2013Q2","State","Euro Million","-274"
"Subsidies on Products","2013Q3","State","Euro Million","-299"
"Subsidies on Products","2013Q4","State","Euro Million","-294"
"Subsidies on Products","2014Q1","State","Euro Million","-223"
"Subsidies on Products","2014Q2","State","Euro Million","-240"
"Subsidies on Products","2014Q3","State","Euro Million","-260"
"Subsidies on Products","2014Q4","State","Euro Million","-294"
"Subsidies on Products","2015Q1","State","Euro Million","-202"
"Subsidies on Products","2015Q2","State","Euro Million","-218"
"Subsidies on Products","2015Q3","State","Euro Million","-243"
"Subsidies on Products","2015Q4","State","Euro Million","-267"
"Subsidies on Products","2016Q1","State","Euro Million","-213"
"Subsidies on Products","2016Q2","State","Euro Million","-229"
"Subsidies on Products","2016Q3","State","Euro Million","-250"
"Subsidies on Products","2016Q4","State","Euro Million","-283"
"Subsidies on Products","2017Q1","State","Euro Million","-217"
"Subsidies on Products","2017Q2","State","Euro Million","-233"
"Subsidies on Products","2017Q3","State","Euro Million","-255"
"Subsidies on Products","2017Q4","State","Euro Million","-288"
"Subsidies on Products","2018Q1","State","Euro Million","-231"
"Subsidies on Products","2018Q2","State","Euro Million","-248"
"Subsidies on Products","2018Q3","State","Euro Million","-270"
"Subsidies on Products","2018Q4","State","Euro Million","-305"
"Subsidies on Products","2019Q1","State","Euro Million","-235"
"Subsidies on Products","2019Q2","State","Euro Million","-252"
"Subsidies on Products","2019Q3","State","Euro Million","-275"
"Subsidies on Products","2019Q4","State","Euro Million","-310"
"Subsidies on Products","2020Q1","State","Euro Million","-327"
"Subsidies on Products","2020Q2","State","Euro Million","-358"
"Subsidies on Products","2020Q3","State","Euro Million","-347"
"Subsidies on Products","2020Q4","State","Euro Million","-365"
"Subsidies on Products","2021Q1","State","Euro Million","-381"
"Subsidies on Products","2021Q2","State","Euro Million","-395"
"Subsidies on Products","2021Q3","State","Euro Million","-424"
"Subsidies on Products","2021Q4","State","Euro Million","-462"
"Subsidies on Products","2022Q1","State","Euro Million","-392"
"Subsidies on Products","2022Q2","State","Euro Million","-397"
"Subsidies on Products","2022Q3","State","Euro Million","-422"
"Subsidies on Products","2022Q4","State","Euro Million","-446"
"Subsidies on Products","2023Q1","State","Euro Million","-354"
"Subsidies on Products","2023Q2","State","Euro Million","-398"
"GDP at Constant Market Prices","1995Q1","State","Euro Million","23401"
"GDP at Constant Market Prices","1995Q2","State","Euro Million","24347"
"GDP at Constant Market Prices","1995Q3","State","Euro Million","24612"
"GDP at Constant Market Prices","1995Q4","State","Euro Million","24501"
"GDP at Constant Market Prices","1996Q1","State","Euro Million","25336"
"GDP at Constant Market Prices","1996Q2","State","Euro Million","26514"
"GDP at Constant Market Prices","1996Q3","State","Euro Million","26058"
"GDP at Constant Market Prices","1996Q4","State","Euro Million","26100"
"GDP at Constant Market Prices","1997Q1","State","Euro Million","27350"
"GDP at Constant Market Prices","1997Q2","State","Euro Million","29087"
"GDP at Constant Market Prices","1997Q3","State","Euro Million","29351"
"GDP at Constant Market Prices","1997Q4","State","Euro Million","29685"
"GDP at Constant Market Prices","1998Q1","State","Euro Million","30233"
"GDP at Constant Market Prices","1998Q2","State","Euro Million","31348"
"GDP at Constant Market Prices","1998Q3","State","Euro Million","32520"
"GDP at Constant Market Prices","1998Q4","State","Euro Million","31493"
"GDP at Constant Market Prices","1999Q1","State","Euro Million","33190"
"GDP at Constant Market Prices","1999Q2","State","Euro Million","33785"
"GDP at Constant Market Prices","1999Q3","State","Euro Million","35585"
"GDP at Constant Market Prices","1999Q4","State","Euro Million","36259"
"GDP at Constant Market Prices","2000Q1","State","Euro Million","36255"
"GDP at Constant Market Prices","2000Q2","State","Euro Million","37466"
"GDP at Constant Market Prices","2000Q3","State","Euro Million","38795"
"GDP at Constant Market Prices","2000Q4","State","Euro Million","39357"
"GDP at Constant Market Prices","2001Q1","State","Euro Million","39023"
"GDP at Constant Market Prices","2001Q2","State","Euro Million","39856"
"GDP at Constant Market Prices","2001Q3","State","Euro Million","39920"
"GDP at Constant Market Prices","2001Q4","State","Euro Million","41133"
"GDP at Constant Market Prices","2002Q1","State","Euro Million","41126"
"GDP at Constant Market Prices","2002Q2","State","Euro Million","41914"
"GDP at Constant Market Prices","2002Q3","State","Euro Million","42442"
"GDP at Constant Market Prices","2002Q4","State","Euro Million","43884"
"GDP at Constant Market Prices","2003Q1","State","Euro Million","42010"
"GDP at Constant Market Prices","2003Q2","State","Euro Million","43071"
"GDP at Constant Market Prices","2003Q3","State","Euro Million","42834"
"GDP at Constant Market Prices","2003Q4","State","Euro Million","46556"
"GDP at Constant Market Prices","2004Q1","State","Euro Million","45238"
"GDP at Constant Market Prices","2004Q2","State","Euro Million","46811"
"GDP at Constant Market Prices","2004Q3","State","Euro Million","45848"
"GDP at Constant Market Prices","2004Q4","State","Euro Million","48418"
"GDP at Constant Market Prices","2005Q1","State","Euro Million","47906"
"GDP at Constant Market Prices","2005Q2","State","Euro Million","49539"
"GDP at Constant Market Prices","2005Q3","State","Euro Million","48447"
"GDP at Constant Market Prices","2005Q4","State","Euro Million","51116"
"GDP at Constant Market Prices","2006Q1","State","Euro Million","50975"
"GDP at Constant Market Prices","2006Q2","State","Euro Million","51336"
"GDP at Constant Market Prices","2006Q3","State","Euro Million","51824"
"GDP at Constant Market Prices","2006Q4","State","Euro Million","52699"
"GDP at Constant Market Prices","2007Q1","State","Euro Million","55063"
"GDP at Constant Market Prices","2007Q2","State","Euro Million","54376"
"GDP at Constant Market Prices","2007Q3","State","Euro Million","53028"
"GDP at Constant Market Prices","2007Q4","State","Euro Million","55351"
"GDP at Constant Market Prices","2008Q1","State","Euro Million","53554"
"GDP at Constant Market Prices","2008Q2","State","Euro Million","52434"
"GDP at Constant Market Prices","2008Q3","State","Euro Million","52407"
"GDP at Constant Market Prices","2008Q4","State","Euro Million","49656"
"GDP at Constant Market Prices","2009Q1","State","Euro Million","49731"
"GDP at Constant Market Prices","2009Q2","State","Euro Million","49888"
"GDP at Constant Market Prices","2009Q3","State","Euro Million","49609"
"GDP at Constant Market Prices","2009Q4","State","Euro Million","48222"
"GDP at Constant Market Prices","2010Q1","State","Euro Million","49590"
"GDP at Constant Market Prices","2010Q2","State","Euro Million","50325"
"GDP at Constant Market Prices","2010Q3","State","Euro Million","50891"
"GDP at Constant Market Prices","2010Q4","State","Euro Million","49966"
"GDP at Constant Market Prices","2011Q1","State","Euro Million","50487"
"GDP at Constant Market Prices","2011Q2","State","Euro Million","51478"
"GDP at Constant Market Prices","2011Q3","State","Euro Million","51177"
"GDP at Constant Market Prices","2011Q4","State","Euro Million","50201"
"GDP at Constant Market Prices","2012Q1","State","Euro Million","49621"
"GDP at Constant Market Prices","2012Q2","State","Euro Million","51781"
"GDP at Constant Market Prices","2012Q3","State","Euro Million","51035"
"GDP at Constant Market Prices","2012Q4","State","Euro Million","50643"
"GDP at Constant Market Prices","2013Q1","State","Euro Million","48925"
"GDP at Constant Market Prices","2013Q2","State","Euro Million","50864"
"GDP at Constant Market Prices","2013Q3","State","Euro Million","53454"
"GDP at Constant Market Prices","2013Q4","State","Euro Million","52223"
"GDP at Constant Market Prices","2014Q1","State","Euro Million","53537"
"GDP at Constant Market Prices","2014Q2","State","Euro Million","55155"
"GDP at Constant Market Prices","2014Q3","State","Euro Million","57461"
"GDP at Constant Market Prices","2014Q4","State","Euro Million","57453"
"GDP at Constant Market Prices","2015Q1","State","Euro Million","68850"
"GDP at Constant Market Prices","2015Q2","State","Euro Million","66559"
"GDP at Constant Market Prices","2015Q3","State","Euro Million","71362"
"GDP at Constant Market Prices","2015Q4","State","Euro Million","71563"
"GDP at Constant Market Prices","2016Q1","State","Euro Million","67559"
"GDP at Constant Market Prices","2016Q2","State","Euro Million","67318"
"GDP at Constant Market Prices","2016Q3","State","Euro Million","70139"
"GDP at Constant Market Prices","2016Q4","State","Euro Million","78232"
"GDP at Constant Market Prices","2017Q1","State","Euro Million","72391"
"GDP at Constant Market Prices","2017Q2","State","Euro Million","72813"
"GDP at Constant Market Prices","2017Q3","State","Euro Million","80379"
"GDP at Constant Market Prices","2017Q4","State","Euro Million","84038"
"GDP at Constant Market Prices","2018Q1","State","Euro Million","80698"
"GDP at Constant Market Prices","2018Q2","State","Euro Million","81968"
"GDP at Constant Market Prices","2018Q3","State","Euro Million","86184"
"GDP at Constant Market Prices","2018Q4","State","Euro Million","86999"
"GDP at Constant Market Prices","2019Q1","State","Euro Million","84152"
"GDP at Constant Market Prices","2019Q2","State","Euro Million","85519"
"GDP at Constant Market Prices","2019Q3","State","Euro Million","91617"
"GDP at Constant Market Prices","2019Q4","State","Euro Million","92353"
"GDP at Constant Market Prices","2020Q1","State","Euro Million","91174"
"GDP at Constant Market Prices","2020Q2","State","Euro Million","87211"
"GDP at Constant Market Prices","2020Q3","State","Euro Million","102015"
"GDP at Constant Market Prices","2020Q4","State","Euro Million","96642"
"GDP at Constant Market Prices","2021Q1","State","Euro Million","102811"
"GDP at Constant Market Prices","2021Q2","State","Euro Million","106156"
"GDP at Constant Market Prices","2021Q3","State","Euro Million","114646"
"GDP at Constant Market Prices","2021Q4","State","Euro Million","110456"
"GDP at Constant Market Prices","2022Q1","State","Euro Million","111842"
"GDP at Constant Market Prices","2022Q2","State","Euro Million","116024"
"GDP at Constant Market Prices","2022Q3","State","Euro Million","125385"
"GDP at Constant Market Prices","2022Q4","State","Euro Million","121765"
"GDP at Constant Market Prices","2023Q1","State","Euro Million","113084"
"GDP at Constant Market Prices","2023Q2","State","Euro Million","115245"
"Net Factor Income from Rest of World","1995Q1","State","Euro Million","-1941"
"Net Factor Income from Rest of World","1995Q2","State","Euro Million","-1934"
"Net Factor Income from Rest of World","1995Q3","State","Euro Million","-1492"
"Net Factor Income from Rest of World","1995Q4","State","Euro Million","-1658"
"Net Factor Income from Rest of World","1996Q1","State","Euro Million","-2145"
"Net Factor Income from Rest of World","1996Q2","State","Euro Million","-2137"
"Net Factor Income from Rest of World","1996Q3","State","Euro Million","-1648"
"Net Factor Income from Rest of World","1996Q4","State","Euro Million","-1832"
